accountNumber#|#financialPeriod#|#fiscalYear#|#endingBalanceLC
10000#|#12#|#2020#|#100.32
20000#|#12#|#2020#|#-350.00
30000#|#12#|#2020#|#2000.00
40000#|#12#|#2020#|#-900.00
50000#|#12#|#2020#|#-1000.00
60000#|#12#|#2020#|#300.00
10000#|#0#|#2021#|#100.32
20000#|#0#|#2021#|#-350.00
30000#|#0#|#2021#|#2000.00
40000#|#0#|#2021#|#0.00
50000#|#0#|#2021#|#0.00
60000#|#0#|#2021#|#0.00
10000#|#12#|#2021#|#0.00
20000#|#12#|#2021#|#0.00
30000#|#12#|#2021#|#0.00
40000#|#12#|#2021#|#0.00
50000#|#12#|#2021#|#0.00
60000#|#12#|#2021#|#0.00
